Model,MDO32
Firmware Version,1.6.0

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-07
Horizontal Delay,1.64452e-06
Sample Interval,4e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Vertical Position,1.76
,
,
,
Label,
TIME,CH1
6.1180e-09,-0.304
6.5180e-09,-0.264
6.9180e-09,-0.264
7.3180e-09,-0.208
7.7180e-09,-0.176
8.1180e-09,-0.176
8.5180e-09,-0.192
8.9180e-09,-0.216
9.3180e-09,-0.24
9.7180e-09,-0.232
1.0118e-08,-0.232
1.0518e-08,-0.224
1.0918e-08,-0.208
1.1318e-08,-0.2
1.1718e-08,-0.24
1.2118e-08,-0.248
1.2518e-08,-0.272
1.2918e-08,-0.296
1.3318e-08,-0.288
1.3718e-08,-0.296
1.4118e-08,-0.296
1.4518e-08,-0.28
1.4918e-08,-0.248
1.5318e-08,-0.224
1.5718e-08,-0.208
1.6118e-08,-0.192
1.6518e-08,-0.176
1.6918e-08,-0.192
1.7318e-08,-0.208
1.7718e-08,-0.224
1.8118e-08,-0.208
1.8518e-08,-0.208
1.8918e-08,-0.192
1.9318e-08,-0.192
1.9718e-08,-0.176
2.0118e-08,-0.2
2.0518e-08,-0.2
2.0918e-08,-0.2
2.1318e-08,-0.208
2.1718e-08,-0.208
2.2118e-08,-0.2
2.2518e-08,-0.2
2.2918e-08,-0.208
2.3318e-08,-0.208
2.3718e-08,-0.24
2.4118e-08,-0.248
2.4518e-08,-0.272
2.4918e-08,-0.272
2.5318e-08,-0.264
2.5718e-08,-0.272
2.6118e-08,-0.288
2.6518e-08,-0.272
2.6918e-08,-0.264
2.7318e-08,-0.24
2.7718e-08,-0.216
2.8118e-08,-0.184
2.8518e-08,-0.176
2.8918e-08,-0.152
2.9318e-08,-0.144
2.9718e-08,-0.152
3.0118e-08,-0.136
3.0518e-08,-0.168
3.0918e-08,-0.232
3.1318e-08,-0.264
3.1718e-08,-0.256
3.2118e-08,-0.24
3.2518e-08,-0.232
3.2918e-08,-0.232
3.3318e-08,-0.216
3.3718e-08,-0.2
3.4118e-08,-0.184
3.4518e-08,-0.176
3.4918e-08,-0.176
3.5318e-08,-0.192
3.5718e-08,-0.2
3.6118e-08,-0.184
3.6518e-08,-0.192
3.6918e-08,-0.2
3.7318e-08,-0.216
3.7718e-08,-0.232
3.8118e-08,-0.232
3.8518e-08,-0.224
3.8918e-08,-0.216
3.9318e-08,-0.208
3.9718e-08,-0.208
4.0118e-08,-0.224
4.0518e-08,-0.232
4.0918e-08,-0.24
4.1318e-08,-0.264
4.1718e-08,-0.256
4.2118e-08,-0.256
4.2518e-08,-0.248
4.2918e-08,-0.264
4.3318e-08,-0.256
4.3718e-08,-0.248
4.4118e-08,-0.24
4.4518e-08,-0.256
4.4918e-08,-0.256
4.5318e-08,-0.248
4.5718e-08,-0.232
4.6118e-08,-0.208
4.6518e-08,-0.2
4.6918e-08,-0.2
4.7318e-08,-0.2
4.7718e-08,-0.216
4.8118e-08,-0.224
4.8518e-08,-0.24
4.8918e-08,-0.248
4.9318e-08,-0.256
4.9718e-08,-0.248
